round,train_acc,val_acc,test_acc,dataset,model,method,seed,mean_client_test_acc
76,0.9833436150524367,0.8589981447124304,0.885036496350365,Cora,gcn,centralized,0,
77,0.9821098087600246,0.8589981447124304,0.8813868613138686,Cora,gcn,centralized,0,
78,0.9821098087600246,0.8645640074211502,0.8795620437956204,Cora,gcn,centralized,0,
79,0.9814929056138186,0.8701298701298701,0.8813868613138686,Cora,gcn,centralized,0,
80,0.9833436150524367,0.8682745825602969,0.8832116788321168,Cora,gcn,centralized,0,
81,0.9833436150524367,0.8645640074211502,0.8832116788321168,Cora,gcn,centralized,0,
82,0.9827267119062307,0.8608534322820037,0.8832116788321168,Cora,gcn,centralized,0,
83,0.9833436150524367,0.8608534322820037,0.885036496350365,Cora,gcn,centralized,0,
84,0.9839605181986428,0.8571428571428571,0.8868613138686131,Cora,gcn,centralized,0,
85,0.9833436150524367,0.8608534322820037,0.885036496350365,Cora,gcn,centralized,0,
86,0.9802590993214065,0.862708719851577,0.885036496350365,Cora,gcn,centralized,0,
87,0.9808760024676126,0.8589981447124304,0.885036496350365,Cora,gcn,centralized,0,
88,0.9833436150524367,0.8682745825602969,0.8777372262773723,Cora,gcn,centralized,0,
89,0.9833436150524367,0.8645640074211502,0.8759124087591241,Cora,gcn,centralized,0,
90,0.9845774213448488,0.8682745825602969,0.8740875912408759,Cora,gcn,centralized,0,
91,0.9839605181986428,0.8682745825602969,0.8759124087591241,Cora,gcn,centralized,0,
92,0.9845774213448488,0.8664192949907236,0.8759124087591241,Cora,gcn,centralized,0,
93,0.9833436150524367,0.8645640074211502,0.8759124087591241,Cora,gcn,centralized,0,
94,0.9833436150524367,0.862708719851577,0.8795620437956204,Cora,gcn,centralized,0,
95,0.9839605181986428,0.8608534322820037,0.885036496350365,Cora,gcn,centralized,0,
96,0.9845774213448488,0.8571428571428571,0.8868613138686131,Cora,gcn,centralized,0,
97,0.986428130783467,0.8552875695732839,0.8868613138686131,Cora,gcn,centralized,0,
98,0.987045033929673,0.8571428571428571,0.8813868613138686,Cora,gcn,centralized,0,
99,0.9876619370758791,0.8589981447124304,0.8813868613138686,Cora,gcn,centralized,0,
100,0.9845774213448488,0.8608534322820037,0.8813868613138686,Cora,gcn,centralized,0,
101,0.9858112276372609,0.862708719851577,0.8795620437956204,Cora,gcn,centralized,0,
102,0.9858112276372609,0.862708719851577,0.8813868613138686,Cora,gcn,centralized,0,
103,0.986428130783467,0.8664192949907236,0.8777372262773723,Cora,gcn,centralized,0,
104,0.986428130783467,0.8645640074211502,0.8795620437956204,Cora,gcn,centralized,0,
105,0.9851943244910549,0.862708719851577,0.8813868613138686,Cora,gcn,centralized,0,
106,0.9858112276372609,0.8608534322820037,0.8813868613138686,Cora,gcn,centralized,0,
107,0.9851943244910549,0.8589981447124304,0.8832116788321168,Cora,gcn,centralized,0,
108,0.9851943244910549,0.862708719851577,0.8795620437956204,Cora,gcn,centralized,0,
